Binary,Instructions,Time,Non-Speculative Execution,Speculative Execution
spectre_masked_case_1,7,1.35,Secure,Secure
spectre_masked_case_2,29,2.18,Secure,Secure
spectre_masked_case_3,29,1.85,Secure,Secure
spectre_masked_case_4,8,4.78,Secure,Secure
spectre_masked_case_5,195,25.07,Secure,Secure
spectre_masked_case_6,11,2.84,Secure,Secure
spectre_masked_case_7,20,3.89,Secure,Secure
spectre_masked_case_8,9,3.8,Secure,Secure
spectre_masked_case_9,7,0.3,Secure,Secure
spectre_masked_case_10,14,0.93,Secure,Secure
spectre_masked_case_11gcc,55,3.84,Secure,Secure
spectre_masked_case_11ker,53,2.74,Secure,Secure
spectre_masked_case_11sub,44,2.22,Secure,Secure
spectre_masked_case_12,11,2.69,Secure,Secure
spectre_masked_case_13,13,2.08,Secure,Secure
spectre_masked_case_14,10,35.3,Secure,Secure
summary_spectre_masked,515,95.86,Secure,Secure
